O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,D,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,W,K,W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,W,F,F,W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,W,F,W,F,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,W,F,W,W,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,F,W,F,F,W,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,W,W,W,F,W,F,F,F,F,F,F,F,F,F,F,F,F,F,O
O,W,F,F,F,W,F,F,F,F,F,F,F,F,F,F,F,F,W,O
O,W,F,H,H,W,F,W,W,W,F,W,F,F,W,F,F,W,W,O
O,W,F,S,X,S,F,W,F,F,W,F,W,W,W,W,W,W,W,O
O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
